260,RandomHusPlayer,260549558,1,260549558,48,game00260.log,
261,260549558,RandomHusPlayer,0,260549558,28,game00261.log,
262,RandomHusPlayer,260549558,1,260549558,48,game00262.log,
263,260549558,RandomHusPlayer,0,260549558,28,game00263.log,
264,RandomHusPlayer,260549558,1,260549558,48,game00264.log,
265,260549558,RandomHusPlayer,0,260549558,28,game00265.log,
266,RandomHusPlayer,260549558,1,260549558,48,game00266.log,
267,260549558,RandomHusPlayer,0,260549558,28,game00267.log,
268,RandomHusPlayer,260549558,1,260549558,48,game00268.log,
269,260549558,RandomHusPlayer,0,260549558,28,game00269.log,
270,RandomHusPlayer,260549558,1,260549558,48,game00270.log,
271,260549558,RandomHusPlayer,0,260549558,28,game00271.log,
272,RandomHusPlayer,260549558,1,260549558,48,game00272.log,
273,260549558,RandomHusPlayer,0,260549558,28,game00273.log,
274,RandomHusPlayer,260549558,1,260549558,48,game00274.log,
275,260549558,RandomHusPlayer,0,260549558,28,game00275.log,
276,RandomHusPlayer,260549558,1,260549558,48,game00276.log,
277,260549558,RandomHusPlayer,0,260549558,28,game00277.log,
278,RandomHusPlayer,260549558,1,260549558,48,game00278.log,
279,260549558,RandomHusPlayer,0,260549558,28,game00279.log,
280,RandomHusPlayer,260549558,1,260549558,48,game00280.log,
281,260549558,RandomHusPlayer,0,260549558,28,game00281.log,
282,RandomHusPlayer,260549558,1,260549558,48,game00282.log,
283,260549558,RandomHusPlayer,0,260549558,28,game00283.log,
284,RandomHusPlayer,260549558,1,260549558,48,game00284.log,
285,260549558,RandomHusPlayer,0,260549558,28,game00285.log,
286,RandomHusPlayer,260549558,1,260549558,48,game00286.log,
287,260549558,RandomHusPlayer,0,260549558,28,game00287.log,
288,RandomHusPlayer,260549558,1,260549558,48,game00288.log,
289,260549558,RandomHusPlayer,0,260549558,28,game00289.log,
290,RandomHusPlayer,260549558,1,260549558,48,game00290.log,
291,260549558,RandomHusPlayer,0,260549558,28,game00291.log,
292,RandomHusPlayer,260549558,1,260549558,48,game00292.log,
293,260549558,RandomHusPlayer,0,260549558,28,game00293.log,
294,RandomHusPlayer,260549558,1,260549558,48,game00294.log,
295,260549558,RandomHusPlayer,0,260549558,28,game00295.log,
296,RandomHusPlayer,260549558,1,260549558,48,game00296.log,
297,260549558,RandomHusPlayer,0,260549558,28,game00297.log,
298,RandomHusPlayer,260549558,1,260549558,48,game00298.log,
299,260549558,RandomHusPlayer,0,260549558,28,game00299.log,
300,RandomHusPlayer,260549558,1,260549558,48,game00300.log,
301,260549558,RandomHusPlayer,0,260549558,28,game00301.log,
302,260549558,RandomHusPlayer,0,260549558,28,game00302.log,
303,260549558,RandomHusPlayer,0,260549558,28,game00303.log,
304,RandomHusPlayer,260549558,1,260549558,48,game00304.log,
305,260549558,RandomHusPlayer,0,260549558,28,game00305.log,
306,RandomHusPlayer,260549558,1,260549558,48,game00306.log,
307,260549558,RandomHusPlayer,0,260549558,28,game00307.log,
308,RandomHusPlayer,260549558,1,260549558,48,game00308.log,
309,260549558,RandomHusPlayer,0,260549558,28,game00309.log,
310,RandomHusPlayer,260549558,1,260549558,48,game00310.log,
311,260549558,RandomHusPlayer,0,260549558,28,game00311.log,
312,RandomHusPlayer,260549558,1,260549558,48,game00312.log,
313,260549558,RandomHusPlayer,0,260549558,28,game00313.log,
314,RandomHusPlayer,260549558,1,260549558,48,game00314.log,
315,260549558,RandomHusPlayer,0,260549558,28,game00315.log,
316,RandomHusPlayer,260549558,1,260549558,48,game00316.log,
317,260549558,RandomHusPlayer,0,260549558,35,game00317.log,
318,RandomHusPlayer,260549558,1,260549558,48,game00318.log,
319,260549558,RandomHusPlayer,0,260549558,28,game00319.log,
320,RandomHusPlayer,260549558,1,260549558,48,game00320.log,
321,260549558,RandomHusPlayer,0,260549558,28,game00321.log,
322,RandomHusPlayer,260549558,1,260549558,48,game00322.log,
323,260549558,RandomHusPlayer,0,260549558,28,game00323.log,
324,260549558,RandomHusPlayer,0,260549558,28,game00324.log,
325,260549558,RandomHusPlayer,0,260549558,28,game00325.log,
326,327,260549558,RandomHusPlayer,0,260549558,28,game00327.log,
328,RandomHusPlayer,260549558,1,260549558,48,game00328.log,
329,260549558,RandomHusPlayer,0,260549558,28,game00329.log,
330,RandomHusPlayer,260549558,1,260549558,48,game00330.log,
331,260549558,RandomHusPlayer,0,260549558,28,game00331.log,
